Id;Value1;Value2;Situation;Action1;Action2;Situation(acceptability);PathImage1;PathImage2
1;Inclusiveness;Affordability;Durant un week-end d'hiver, vous avez invité des amis pour regarder la télévision/jouer à des jeux vidéos/autre activité du même type, quand le système vous informe que certains voisins n'ont pas pu se chauffer autant qu'ils le souhaitaient, et que leur confort est significativement plus bas que la plupart des autres habitants. Vous avez la possibilité d'acheter de l'énergie (et donc payer plus) ce qui permettra à vos voisins de consommer l'énergie de la grille locale afin de remonter leur confort.;Regarder la télévision/jouer à des jeux vidéos/autre comme vous l'aviez prévu en achetant de l'énergie.;Regarder la télévision comme vous l'aviez prévu.;Durant un week-end d'hiver, vous avez invité des amis pour regarder la télévision/jouer à des jeux vidéos/autre activité du même type, quand le système détecte que certains voisins n'ont pas pu se chauffer autant qu'ils le souhaitaient, et que leur confort est significativement plus bas que la plupart des autres habitants. Le système choisit de vous faire payer un supplément pour acheter de l'énergie afin de laisser vos voisins consommer sur la grille locale.;images/neighbors.jpg;images/money.jpg
11;Privacy;Well-being;Il y a beaucoup d'incertitudes dans les habitudes de consommation des autres habitants, le système n'arrive pas à prédire si suffisamment d'énergie sera disponible pour vos loisirs ce soir (vous avez prévu de regarder la télé/jouer à des jeux vidéos/autre activité du même type).;Garder vos habitudes et pratiques privées, au risque de devoir consommer moins d'énergie que prévu en cas de pénurie.;Réduire l'incertitude en partageant vos pratiques de consommation pour que le système puisse s'organiser avec les autres habitants.;Statement 2;images/privacy3.jpg;images/fifa.jpg
8;Security of supply;Environmental sustainability;Il est 7h un matin d'hiver, vous aviez l'intention de prendre une douche chaude avant de commencer votre journée de travail, dans le même temps, l'école du quartier enclenche son chauffage pour que les salles soient à température optimale quand les enfants arriveront. Le système vous prévient qu'il n'y a pas assez d'énergie dans la grille locale, chauffer l'eau risquerait de faire appel à des sources plus polluantes, comme une centrale à charbon.;Prendre une douche chaude comme prévu.;Prendre une douche sans chauffer l'eau ou le soir.;Statement 2;images/shower.jpg;images/turn.jpg
3;Affordability;Privacy;Il y a beaucoup d'incertitudes dans les habitudes de consommation de votre zone géographique, le système n'arrive pas à prédire les besoins énergétiques. Le système bénéficerait de plus d'informations sur les pratiques de consommation des habitants et propose donc de nouveaux tarifs pour les encourager à partager leurs données. Vous avez donc le choix entre payer moins tout en partageant vos données, ou payer plus pour garder vos données privées.;Accepter une augmentation de tarif pour garder vos pratiques privées.;Accepter de partager vos pratiques de consommation pour réduire le tarif.;Statement 2;images/card.jpg;images/code.jpg
7;Security of supply;Inclusiveness;Durant un week-end d'hiver, le système vous informe que certains voisins n'ont pas pu se chauffer autant qu'ils le souhaitaient, et leur confort est significativement plus bas que la plupart des autres habitants. Vous avez la possibilité de mettre votre chauffe eau en pause pour les 12 prochaines heures.;Maintenir la marche normale du chauffe eau car plusieurs personnes vont prendre des douches chez vous pendant le week-end.;Opter pour une mise en pause du chauffe eau pour que d'autres puissent se chauffer.;Statement 2;images/tubes.jpg;images/stop.jpg
14;Environmental sustainability;Well-being;Pour la soirée qui vient, vous aviez prévu de regarder la télévision/jouer à des jeux vidéos/autre activité du même type. Le sytème vous informe d'une imminente pénurie d'énergie renouvelable pour alimenter votre domicile.;Ne pas regarder la télé/jouer à des jeux vidéos/autre.;Faire appel à une source d'énergie plus polluante pour regarder la télé/jouer à des jeux vidéos/autre.;Statement 2;images/green.jpg;images/tv.jpg
6;Privacy;Security of supply;Il y a beaucoup d'incertitudes dans les habitudes de consommation des autres habitants, le système n'arrive pas à prédire si suffisamment d'énergie sera disponible pour que vous puissiez faire à manger.;Garder vos habitudes et intentions privées, au risque de devoir consommer moins d'énergie que prévu en cas de pénurie. ;Réduire l'incertitude en partageant votre intention de consommation pour que le système puisse mieux organiser la répartition d'énergie.;Statement 2;images/lock.jpg;images/food.jpg
13;Inclusiveness;Environmental sustainability;Au moment de brancher votre véhicule électrique pour le recharger, le système vous informe que de nombreux habitants ont un confort très inférieur à la moyenne.;Recharger la voiture en utilisant une autre source d'énergie plus carbonnée, afin de permettre aux voisins de consommer normalement sur le réseau local.;Éviter de polluer et continuer à consommer sur le réseau local. Vos voisins n'auront plus assez d'énergie disponible sur la grille et devront soit consommer moins, soit acheter de l'énergie et payer plus cher.;Statement 2;images/car.jpg;images/green_car.jpg
4;Well-being;Affordability;Il est 19h, beaucoup d'énergie est consommée par l'ensemble des habitants, et il ne reste pas assez d'énergie pour vous permettre d'utiliser votre four comme vous le souhaitiez.;Acheter de l'énergie à un tarif supérieur pour utiliser le four comme prévu.;Ne pas utiliser votre four et faire à manger autrement.;Statement 2;images/card2.jpg;images/fridge.jpg
10;Privacy;Environmental sustainability;Il y a beaucoup d'incertitudes dans les habitudes de consommation des autres habitants. Il se peut que le système ne puisse pas anticiper des achats d'énergie extérieure, et donc plus polluante.;Garder vos habitudes et pratiques privées, au risque de consommer de l'énergie plus polluante.;Réduire l'incertitude en partageant vos pratiques de consommation pour que le système puisse s'organiser avec les autres habitants.;Statement 2;images/privacy2.jpg;images/data.jpg
15;Well-being;Security of supply;Durant un week-end d'hiver, le réseau électrique est très chargé à cause de l'utilisation du chauffage. ;Maintenir le chauffage a sa température habituelle, quitte à risquer une panne sur le réseau.;Baisser sa température de 3 degrés pour contribuer à la stabilité du système et garantir votre approvisionnement en électricité.;Statement 2;images/warm.jpg;images/set_heat.jpg
2;Affordability;Environmental sustainability;Votre fournisseur d'énergie habituel a une défaillance, vous avez le choix de basculer sur une source d'énergie fossile moins couteuse mais plus polluante, et une source d'énergie renouvelable plus chère mais n'émettant pas de CO2.;Opter pour la source d'énergie moins couteuse mais plus polluante.;Opter pour la source d'énergie renouvelable plus chère.;Statement 2;images/smog.jpg;images/money2.jpg
9;Privacy;Inclusiveness;Il y a beaucoup d'incertitudes dans les habitudes de consommation des autres habitants, le système n'arrive pas à prédire si suffisamment d'énergie sera disponible pour que vos voisins puissent faire à manger.;Garder vos habitudes et pratiques privées, au risque de forcer vos voisins à consommer moins d'énergie que prévu en cas de pénurie.;Réduire l'incertitude en partageant vos pratiques de consommation pour que le système puisse s'organiser avec les autres habitants.;Statement 2;images/privacy1.jpg;images/neighbors3.jpg
5;Security of supply;Affordability;Il est 19h, beaucoup d'énergie est consommée par l'ensemble des habitants, et il ne reste pas assez d'énergie jusqu'au lendemain matin pour vous permettre de lancer le chauffage  comme vous le souhaitiez.;Acheter de l'énergie pour permettre de lancer votre chauffage tout de même.;Repousser l'activation du chauffage au lendemain, quand plus d'énergie sera disponible et qu'il ne sera pas nécessaire de payer un supplément.;Statement 2;images/heating.jpg;images/wait.jpg
12;Inclusiveness;Well-being;Pour la soirée qui vient, vous aviez prévu de regarder la télévision/jouer à des jeux vidéos/autre activité du même type. Le sytème vous informe d'une imminente pénurie touchant certains habitants d'un bâtiment proche.;Ne pas regarder la télé/jouer à des jeux vidéos/autre pour diminuer la pression sur le réseau.;Regarder la télé/jouer à des jeux vidéos/autre tout de même.;Statement 2;images/neighbors2.jpg;images/controller.jpg